"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000092931",7.30258292240711,1.31097683018202,0.680140282402136,1.927509462536,0.053916169947463,0.172914580541568
"ENSG00000167861",18.1801913668455,0.908805777873151,0.470954470110026,1.9297104827582,0.0536427203679101,0.172914580541568
"ENSG00000166685",18.3495240285318,0.828036305108021,0.432767574910867,1.91335107598707,0.0557031231120556,0.175529608876361
"ENSG00000177303",12.6178770813761,0.989171094612504,0.516648133259651,1.91459337784035,0.0555443803176852,0.175529608876361
"ENSG00000262953",127.835504557792,-0.386963118028546,0.201998380560211,-1.91567435815755,0.0554065582455937,0.175529608876361
"ENSG00000185359",62.8248997580424,0.468355863856124,0.245307400203341,1.90926104743637,0.0562284245658199,0.176160728986557
"ENSG00000226549",138.92728907756,-0.3795193384248,0.199897520165244,-1.89856951757617,0.0576210994484726,0.179486413224553
"ENSG00000167291",13.8196846694025,0.942183454501219,0.498315080084399,1.89073839455479,0.0586592744685325,0.181676152925398
"ENSG00000173812",724.660485778024,-0.241222242340403,0.128493024548751,-1.87731780139459,0.0604745498363719,0.186234125064282
"ENSG00000141736",36.241681433762,0.590717413963356,0.315873941552847,1.87010492558952,0.0614692486260336,0.188227868674069
"ENSG00000170832",14.9601359077093,0.888436328341348,0.476697070308423,1.8637335609521,0.0623591299190236,0.188819264894474
"ENSG00000220205",32.3331502043816,0.657177968214149,0.352366673588892,1.86504007748724,0.0621757867827787,0.188819264894474
"ENSG00000141349",12.2717838359088,0.957765908933078,0.514626833451388,1.86108816462162,0.0627317273006014,0.188892201094033
"ENSG00000168591",20.4517970423283,0.739097149046095,0.401488129673757,1.84089414958961,0.0656370719216767,0.196548580008557
"ENSG00000006125",115.696960432226,0.352700002964817,0.19273485242077,1.82997521483461,0.0672536451116659,0.198942527051761
"ENSG00000173826",15.8135912469052,0.843103468472246,0.461035737165768,1.82871608534135,0.0674421515065511,0.198942527051761
"ENSG00000196535",99.376819282631,0.390043644886744,0.213575738381705,1.82625446055887,0.0678119413739107,0.198942527051761
"ENSG00000234324",35.4479955803857,-0.589418204678385,0.322855929282284,-1.82563846973068,0.0679047370933131,0.198942527051761
"ENSG00000257008",19.5282616208996,-0.806877573786764,0.447255649202829,-1.80406345951116,0.0712213592109796,0.206955957046401
"ENSG00000275839",13.6941879580244,-0.91362153363408,0.506750554100758,-1.80290189372427,0.0714036235565997,0.206955957046401
"ENSG00000013306",85.4587667543814,-0.390654095783021,0.219180062698664,-1.78234320664514,0.0746932808865479,0.215339139577175
"ENSG00000108799",18.1511164419729,0.776726204955409,0.439102395109076,1.76889539571394,0.0769113327117054,0.220117683893927
"ENSG00000266563",75.6076732507437,-0.398709453933965,0.225592299483683,-1.76738946695653,0.0771630257192732,0.220117683893927
"ENSG00000264316",93.5518392382543,0.374933244780344,0.213147405362284,1.75903264758524,0.0785719634872477,0.222963372827687
"ENSG00000108509",29.3839620966159,0.595556340364929,0.33976922043475,1.75282604940756,0.079631870309901,0.224794133895658
"ENSG00000240125",26.9957088092664,-0.640313239709246,0.37114537926772,-1.72523565017191,0.0844850134150572,0.237258431455756
"ENSG00000126351",130.164050597576,0.369121107605645,0.215009542385107,1.71676616540352,0.086021905307412,0.24032924060112
"ENSG00000091947",15.9524089826737,0.77718873153786,0.45534124107676,1.70682701549286,0.0878542095134906,0.244189649006728
"ENSG00000108389",30.3987226846127,0.587988946117255,0.347572058976775,1.69170372281434,0.0907024782642837,0.250820118465519
"ENSG00000087111",17.0114750941026,0.777143100741314,0.461010222087565,1.68573941207252,0.0918460021521147,0.25269306175861
"ENSG00000275700",6.95296887177212,-1.2355033768817,0.737277264792716,-1.67576492030995,0.0937842478813432,0.256722537129737
"ENSG00000270606",42.0741947887808,-0.488897494074738,0.293667274328192,-1.66480073475386,0.0959525173138717,0.261338011980495
"ENSG00000131771",16.6844035391821,-0.750321571444266,0.455712384192426,-1.64648053788119,0.0996648637641647,0.268748040597897
"ENSG00000171345",92.6181548975885,0.357708107084333,0.217156717848095,1.64723482022121,0.099509789312551,0.268748040597897
"ENSG00000141378",7.16991187395106,-1.12636676728867,0.686688086205368,-1.64028878600904,0.100945136146099,0.270852791045475
"ENSG00000002834",41.1357625778377,0.480315414039392,0.29466579647129,1.63003449939325,0.103094205750098,0.275256450820459
"ENSG00000262384",11.9014895359783,-0.859269131681604,0.528102508137135,-1.62708776883611,0.103718458360222,0.275565707996276
"ENSG00000141756",56.3275957827355,0.424320934747755,0.263225323963651,1.61200650590272,0.106960524001515,0.28091553795036
"ENSG00000178082",71.2332648331798,0.371809611100279,0.231205215339029,1.60813678253354,0.107805224896079,0.28091553795036
"ENSG00000235554",66.6537556427986,-0.389858603915734,0.242409795353299,-1.60826258422245,0.107777681513577,0.28091553795036
"ENSG00000266876",12.3781256834398,-0.895945052137384,0.554938362973296,-1.61449471133517,0.106420163064895,0.28091553795036
"ENSG00000159314",8.55653698302889,1.00562847984428,0.627609005676234,1.60231684177434,0.109085563268288,0.282891747805799
"ENSG00000223878",70.9689790741115,-0.426640301657399,0.272541914725889,-1.56541169855101,0.117486407150163,0.303226822263754
"ENSG00000074356",25.2156555084989,0.568775698036325,0.367954174156243,1.54577862675586,0.12215804055792,0.308110831143374
"ENSG00000125450",18.8120492820212,-0.685549547345946,0.44224236354123,-1.55016706643943,0.121101422242837,0.308110831143374
"ENSG00000172057",22.410763712125,0.628341730190749,0.404713130552444,1.55256077146063,0.120528103609464,0.308110831143374
"ENSG00000198740",8.06276591200535,1.02222933936246,0.659660596030148,1.54962922677853,0.121230533826421,0.308110831143374
"ENSG00000277791",116.127938341266,-0.306609404912344,0.198386211284961,-1.54551771983755,0.12222108615466,0.308110831143374
"ENSG00000132589",11.2295730697992,0.836955339176951,0.543705441568653,1.53935435474443,0.123717810986336,0.309212593967502
"ENSG00000214578",71.0858187413964,-0.356155902002978,0.231454685832604,-1.53877162055195,0.123860060460804,0.309212593967502
"ENSG00000235672",16.5816828970902,-0.691484560919189,0.449983598259225,-1.53668836729653,0.12436964111608,0.309212593967502
